"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
416-1-000001,장군동공영유료주차장,공영,노상,경상남도 창원시 마산합포구 3·15대로 211,경상남도 창원시 마산합포구 중앙동3가 3-8,43,1,미시행,평일+토요일+공휴일,08:00,00:00,08:00,00:00,08:00,00:00,유료,30,500,10,200,16,6000,85000,현금,승용차기준,경상남도 창원시청,055-220-4436,35.19709600,128.56645100,2018-06-30
417-1-000001,마산역공영주차장,공영,노상,경상남도 창원시 마산회원구 석전동 267,경상남도 창원시 마산회원구 석전동 267,147,1,미시행,평일+토요일+공휴일,08:00,00:00,08:00,00:00,08:00,00:00,유료,30,500,10,200,,,,현금+신용카드,"노상주차장 일,월주차 제한",경상남도 창원시청,055-230-4453,35.23458300,128.57939500,2018-06-30
417-1-000002,산호천공영주차장,공영,노상,경상남도 창원시 마산회원구 산호천서길 234 일원,경상남도 창원시 마산회원구 양덕동 36-2 일원,123,1,미시행,평일+토요일+공휴일,08:00,00:00,08:00,00:00,08:00,00:00,유료,30,500,10,200,,,,현금+신용카드,"노상주차장 일,월주차 제한",경상남도 창원시청,055-230-4453,35.22218300,128.58930100,2018-06-30
417-1-000002,산호천공영주차장,공영,노상,경상남도 창원시 마산회원구 산호천서길 234 일원,경상남도 창원시 마산회원구 양덕동 36-2 일원,123,1,미시행,평일+토요일+공휴일,08:00,00:00,08:00,00:00,08:00,00:00,유료,30,500,10,200,,,,현금+신용카드,"노상주차장 일,월주차 제한",경상남도 창원시청,055-230-4455,35.22218300,128.58930100,2018-06-30
417-1-000001,마산역공영주차장,공영,노상,경상남도 창원시 마산회원구 석전동 267,경상남도 창원시 마산회원구 석전동 267,147,1,미시행,평일+토요일+공휴일,08:00,00:00,08:00,00:00,08:00,00:00,유료,30,500,10,200,,,,현금+신용카드,"노상주차장 일,월주차 제한",경상남도 창원시청,055-230-4455,35.23458300,128.57939500,2018-06-30
415-1-000032,반월로 노상주차장,공영,노상,경상남도 창원시 성산구 신촌동 190,경상남도 창원시 성산구 신촌동 190,32,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.21072800,128.62964000,2018-06-30
415-1-000003,외동반림동 74번길 노상주차장,공영,노상,경상남도 창원시 성산구 외동반림로74번길,경상남도 창원시 성산구 중앙동 31-15,86,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.22640600,128.67355200,2018-06-30
415-1-000016,가양로 노상주차장,공영,노상,경상남도 창원시 성산구 가음동 502-3,경상남도 창원시 성산구 가음동 502-3,81,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20882200,128.69965400,2018-06-30
415-1-000015,원이대로 883번길 노상주차장,공영,노상,경상남도 창원시 성산구 원이대로883번길,경상남도 창원시 성산구 가음동 500-3,30,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20684000,128.69675000,2018-06-30
415-1-000014,가음로 13번길 노상주차장,공영,노상,경상남도 창원시 성산구 남양동 503-1,경상남도 창원시 성산구 남양동 503-1,178,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.21198600,128.69968600,2018-06-30
415-1-000013,가양로(개나리 4차아파트 옆) 노상주차장,공영,노상,경상남도 창원시 성산구 남양동 504,경상남도 창원시 성산구 남양동 504,104,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20874400,128.70362600,2018-06-30
415-1-000012,비음로 노상주차장,공영,노상,경상남도 창원시 성산구 대방동 263,경상남도 창원시 성산구 대방동 263,36,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.21666700,128.71071400,2018-06-30
415-1-000011,가양로 136번길 노상주차장,공영,노상,경상남도 창원시 성산구 가양로136번길,경상남도 창원시 성산구 대방동 381,34,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20837500,128.70825400,2018-06-30
415-1-000010,토월로 노상주차장,공영,노상,경상남도 창원시 성산구 상남동 98-4,경상남도 창원시 성산구 상남동 98-4,24,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.21750000,128.68260200,2018-06-30
415-1-000009,외동반림로 노상주차장,공영,노상,경상남도 창원시 성산구 중앙동 507-7,경상남도 창원시 성산구 중앙동 507-7,10,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.22388700,128.67632000,2018-06-30
415-1-000008,남면로 노상주차장,공영,노상,경상남도 창원시 성산구 가음정동 390,경상남도 창원시 성산구 가음정동 390,330,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20555200,128.68035700,2018-06-30
415-1-000007,성산패총로(성산패총입구) 노상주차장,공영,노상,경상남도 창원시 성산구 외동 854,경상남도 창원시 성산구 외동 854,86,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20811700,128.67599100,2018-06-30
415-1-000006,삼동로 128번길(월드메르디앙 옆) 노상주차장,공영,노상,경상남도 창원시 성산구 삼동로128번길,경상남도 창원시 성산구 내동 452-12,67,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.22463700,128.65682100,2018-06-30
415-1-000005,삼동로 128번길(효성사원아파트 옆) 노상주차장,공영,노상,경상남도 창원시 성산구 삼동로128번길,경상남도 창원시 성산구 내동 454-8,67,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.22107500,128.66306500,2018-06-30
415-1-000004,연덕로 184번길 노상주차장,공영,노상,경상남도 창원시 성산구 연덕로184번길,경상남도 창원시 성산구 내동 456-10,32,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.21831700,128.66759100,2018-06-30
415-1-000017,가음정로 노상주차장,공영,노상,경상남도 창원시 성산구 가음동 511,경상남도 창원시 성산구 가음동 511,79,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20255600,128.70044300,2018-06-30
415-1-000031,반월로 67번길 노상주차장,공영,노상,경상남도 창원시 성산구 반월로67번길,경상남도 창원시 성산구 신촌동 192-4,135,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20718000,128.63879700,2018-06-30
415-1-000030,월림로 노상주차장,공영,노상,경상남도 창원시 성산구 신촌동 190,경상남도 창원시 성산구 신촌동 190,131,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.21072800,128.62964000,2018-06-30
415-1-000029,월림로 67번길 노상주차장,공영,노상,경상남도 창원시 성산구 월림로67번길,경상남도 창원시 성산구 신촌동 114-4,58,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20755800,128.64017700,2018-06-30
415-1-000028,월림로 65번길 노상주차장,공영,노상,경상남도 창원시 성산구 월림로65번길,경상남도 창원시 성산구 신촌동 503-7,213,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.21113200,128.64207000,2018-06-30
415-1-000027,공단로 166번길 노상주차장,공영,노상,경상남도 창원시 성산구 공단로166번길,경상남도 창원시 성산구 신촌동 119-5,69,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.21173500,128.64422800,2018-06-30
415-1-000026,공단로 271번길 노상주차장,공영,노상,경상남도 창원시 성산구 공단로271번길,경상남도 창원시 성산구 웅남동 513,145,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.21541500,128.65473800,2018-06-30
415-1-000025,연덕로 15번길 노상주차장,공영,노상,경상남도 창원시 성산구 연덕로15번길,경상남도 창원시 성산구 웅남동 61-75,154,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20770900,128.65372200,2018-06-30
415-1-000024,연덕로(강림중공업 옆) 노상주차장,공영,노상,경상남도 창원시 성산구 웅남동 69,경상남도 창원시 성산구 웅남동 69,106,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20982900,128.65823200,2018-06-30
415-1-000023,완암로(테크노파크 옆) 노상주차장,공영,노상,경상남도 창원시 성산구 웅남동 514,경상남도 창원시 성산구 웅남동 514,95,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20415300,128.66040100,2018-06-30
415-1-000022,완암로(윤성정밀 옆) 노상주차장,공영,노상,경상남도 창원시 성산구 웅남동 69,경상남도 창원시 성산구 웅남동 69,82,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20982900,128.65823200,2018-06-30
415-1-000001,창원천로 노상주차장,공영,노상,경상남도 창원시 성산구 반지동 512-4,경상남도 창원시 성산구 반지동 512-4,76,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.24507500,128.67101600,2018-06-30
415-1-000021,공단로 474번길 노상주차장,공영,노상,경상남도 창원시 성산구 공단로474번길,경상남도 창원시 성산구 성산동 518,53,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20063400,128.67411700,2018-06-30
415-1-000020,공단로 473번길 노상주차장,공영,노상,경상남도 창원시 성산구 공단로473번길,경상남도 창원시 성산구 성산동 518,187,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20063400,128.67411700,2018-06-30
415-1-000019,성산패총로(한화테크 옆) 노상주차장,공영,노상,경상남도 창원시 성산구 성산동 518,경상남도 창원시 성산구 성산동 518,106,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20063400,128.67411700,2018-06-30
415-1-000018,성주동 519-1 노상주차장,공영,노상,경상남도 창원시 성산구 성주동 519-1,경상남도 창원시 성산구 성주동 519-1,80,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.19301600,128.68300100,2018-06-30
415-1-000002,까치아파트옆 노상주차장,공영,노상,경상남도 창원시 성산구 반지동 512-7,경상남도 창원시 성산구 반지동 512-7,78,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.24486200,128.66706400,2018-06-30
415-1-000037,충혼로 72번길 노상주차장,공영,노상,경상남도 창원시 성산구 충혼로72번길,경상남도 창원시 성산구 중앙동 506-1,160,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.22388700,128.67632000,2018-06-30
415-1-000036,가음로 15번길 노상주차장,공영,노상,경상남도 창원시 성산구 가음로15번길,경상남도 창원시 성산구 남양동 22-1,34,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.21194300,128.70193000,2018-06-30
415-1-000035,공단로 103번길 노상주차장,공영,노상,경상남도 창원시 성산구 공단로103번길,경상남도 창원시 성산구 신촌동 86,65,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.21521300,128.63525500,2018-06-30
415-1-000034,적현로 279번길 노상주차장,공영,노상,경상남도 창원시 성산구 적현로279번길,경상남도 창원시 성산구 신촌동 58-2,128,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.19891400,128.60605100,2018-06-30
415-1-000033,신촌로 노상주차장,공영,노상,경상남도 창원시 성산구 신촌동 42,경상남도 창원시 성산구 신촌동 42,21,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-272-4431,35.20750100,128.62642700,2018-06-30
414-1-000106,금강로379번길(소계동746번지 도로부지 일대) 공영주차장,공영,노상,경상남도 창원시 의창구 금강로379번길,경상남도 창원시 의창구 소계동746번지,52,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.25914200,128.60193100,2018-06-30
414-1-000105,남산로1번길(임진각식당 인근) 공영주차장,공영,노상,경상남도 창원시 의창구 남산로1번길(임진각식당 인근),,99,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.26125900,128.61787700,2018-06-30
414-1-000120,대산북로(대산면 모산리 143-4번지) 공영주차장,공영,노상,경상남도 창원시 의창구 대산북로,경상남도 창원시 의창구 대산면 모산리 143-4번지,33,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.35751100,128.71272000,2018-06-30
414-1-000094,현대아파트~동양상가 공영주차장,공영,노상,경상남도 창원시 의창구 대원로 93번길(현대아파트~동양상가),,73,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.23552300,128.64955300,2018-06-30
414-1-000127,도계로163번걸(명서동19-20~19-11) 공영주차장,공영,노상,경상남도 창원시 의창구 도계로163번걸,경상남도 창원시 의창구 명서동19-20~19-11,21,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.25150600,128.64047600,2018-06-30
414-1-000128,도계로163번걸 맞은편(위브공원앞 하천길) 공영주차장,공영,노상,경상남도 창원시 의창구 도계로163번걸 맞은편(위브공원앞 하천길),,21,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.25150600,128.64047600,2018-06-30
414-1-000115,명서로(명서동132-10번지~명서동145-18번지 앞) 공영주차장,공영,노상,경상남도 창원시 의창구 명서로,경상남도 창원시 의창구 명서동132-10번지~명서동145-18번지 앞,55,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.24539400,128.64591300,2018-06-30
414-1-000112,명서로(명서동34-7번지~명서동 151-8번지) 공영주차장,공영,노상,경상남도 창원시 의창구 명서로,경상남도 창원시 의창구 명서동34-7번지~명서동 151-8번지,37,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.25128700,128.64827400,2018-06-30
414-1-000129,명지로14번길(명서동 18-24~18-13) 공영주차장,공영,노상,경상남도 창원시 의창구 명지로14번길,경상남도 창원시 의창구 명서동 18-24~18-13,26,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.25053800,128.64191400,2018-06-30
414-1-000126,무역로581번길(농산물도매시장 앞) 공영주차장,공영,노상,경상남도 창원시 의창구 무역로581번길(농산물도매시장 앞),,23,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.22994900,128.63820000,2018-06-30
414-1-000096,반계로(동서식품 창원공장)  공영주차장,공영,노상,경상남도 창원시 의창구 반계로(동서식품 창원공장),,98,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.25187900,128.61511200,2018-06-30
414-1-000119,봉강가술로394번길 공영주차장,공영,노상,경상남도 창원시 의창구 봉강가술로394번길,경상남도 창원시 의창구 대산면 대방리 569,10,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.34119200,128.69446500,2018-06-30
414-1-000116,봉곡로23번길(봉곡동70-5번지~봉곡동70-8번지) 공영주차장,공영,노상,경상남도 창원시 의창구 봉곡로23번길,경상남도 창원시 의창구 봉곡동70-5번지~봉곡동70-8번지,6,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.24798200,128.65943700,2018-06-30
414-1-000121,"상남로(창원중앙역진입도로, 창원대~창원중앙역) 공영주차장",공영,노상,"경상남도 창원시 의창구 상남로(창원중앙역진입도로, 창원대~창원중앙역)",,151,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.24267500,128.70159000,2018-06-30
414-1-000141,용지호수앞 공영주차장,공영,노상,경상남도 창원시 의창구 용지로169번길,,90,1,미시행,평일+토요일+공휴일,08:00,00:00,08:00,00:00,08:00,00:00,유료,30,500,,,,,,,,경상남도 창원시청,055-212-4435,35.23031100,128.68094900,2018-06-30
414-1-000110,우곡로(명서동12-1번지~명서동12-8번지) 공영주차장,공영,노상,경상남도 창원시 의창구 우곡로,경상남도 창원시 의창구 명서동12-1번지~명서동12-8번지,12,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.25111300,128.63732000,2018-06-30
414-1-000136,경남은행명곡지점 공영주차장,공영,노상,경상남도 창원시 의창구 원이대로 265,,38,1,미시행,평일+토요일+공휴일,08:00,00:00,08:00,00:00,08:00,00:00,유료,30,500,,,,,,,,경상남도 창원시청,055-212-4435,35.24350000,128.64931300,2018-06-30
414-1-000123,원이대로114번길(곰두리체육센터 앞) 공영주차장,공영,노상,경상남도 창원시 의창구 원이대로114번길(곰두리체육센터 앞),,25,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.25280400,128.63684800,2018-06-30
414-1-000124,원이대로114번길(서부경찰서 뒤편) 공영주차장,공영,노상,경상남도 창원시 의창구 원이대로114번길(서부경찰서 뒤편),,51,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.25169300,128.63686900,2018-06-30
414-1-000130,원이대로215번길(명서동 39-1~82-12) 공영주차장,공영,노상,경상남도 창원시 의창구 원이대로215번길,경상남도 창원시 의창구 명서동 39-1~82-12,26,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.24878500,128.64229400,2018-06-30
414-1-000131,원이대로219번길(명서동 38-1~132-1) 공영주차장,공영,노상,경상남도 창원시 의창구 원이대로219번길,경상남도 창원시 의창구 명서동 38-1~132-1,53,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.24943400,128.64346400,2018-06-30
414-1-000113,원이대로220번길(명서동131-12번지 ~ 105-15번지) 공영주차장,공영,노상,경상남도 창원시 의창구 원이대로220번길,경상남도 창원시 의창구 명서동131-12번지 ~ 105-15번지,47,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,경상남도 창원시청,055-212-4435,35.24508900,128.64455800,2018-06-30
